13351,5,bESGLojNYSo,2,lady gaga,5,poker face,glue,314,I'm not lying I'm just stunning with my love __ gunnin',Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,149370,152890,3520,0,
13362,25,nPvuNsRccVw,10,Bruno Mars,26,treasure,true,1762,You know you can make my wish come __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,103390,107710,4320,0,
13363,25,nPvuNsRccVw,10,Bruno Mars,26,treasure,true,1773,You know you can make my wish come __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,144450,148910,4460,0,
13364,32,TH8m6J3gPH0,12,Robin Thicke,33,give it 2 u,true,2133,"Come __, ooh baby",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,61460,65310,3850,1,
13365,32,TH8m6J3gPH0,12,Robin Thicke,33,give it 2 u,true,2162,"Come __, ooh baby",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,121990,125740,3750,1,
13366,32,TH8m6J3gPH0,12,Robin Thicke,33,give it 2 u,true,2190,"Come __, ooh baby",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,182430,186150,3720,1,
13367,32,TH8m6J3gPH0,12,Robin Thicke,33,give it 2 u,true,2196,"Come __, ooh baby",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,197460,201230,3770,1,
13368,44,uuNTO31FlY8,17,Avril Lavigne,45,rock n roll,issues,2787,I might have a couple __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,82620,84840,2220,1,
13369,46,zsmUOdmm02A,18,P!nk,47,true love,True,2901,"__ love, true love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,50060,54110,4050,1,
13370,46,zsmUOdmm02A,18,P!nk,47,true love,true,2901,"True love, __ love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,50060,54110,4050,1,
13371,46,zsmUOdmm02A,18,P!nk,47,true love,true,2902,It must be __ love,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,54110,57580,3470,1,
13372,46,zsmUOdmm02A,18,P!nk,47,true love,True,2904,"__ love, true love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,60080,64190,4110,1,
13373,46,zsmUOdmm02A,18,P!nk,47,true love,true,2904,"True love, __ love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,60080,64190,4110,1,
13374,46,zsmUOdmm02A,18,P!nk,47,true love,true,2905,It must be __ love,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,64190,67560,3370,1,
13375,46,zsmUOdmm02A,18,P!nk,47,true love,True,2923,"__ love, true love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,120120,124290,4170,1,
13376,46,zsmUOdmm02A,18,P!nk,47,true love,true,2923,"True love, __ love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,120120,124290,4170,1,
13377,46,zsmUOdmm02A,18,P!nk,47,true love,true,2924,It must be __ love,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,124290,127410,3120,1,
13378,46,zsmUOdmm02A,18,P!nk,47,true love,True,2926,"__ love, true love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,130170,134120,3950,1,
13379,46,zsmUOdmm02A,18,P!nk,47,true love,true,2926,"True love, __ love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,130170,134120,3950,1,
13380,46,zsmUOdmm02A,18,P!nk,47,true love,true,2927,It must be __ love,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,134120,137500,3380,1,
13381,46,zsmUOdmm02A,18,P!nk,47,true love,True,2939,"__ love, it must be true love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,180230,184180,3950,1,
13382,46,zsmUOdmm02A,18,P!nk,47,true love,true,2939,"True love, it must be __ love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,180230,184180,3950,1,
13383,46,zsmUOdmm02A,18,P!nk,47,true love,true,2940,It must be __ love,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,184180,187630,3450,1,
13384,46,zsmUOdmm02A,18,P!nk,47,true love,True,2943,"__ love, true love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,190160,194130,3970,1,
13385,46,zsmUOdmm02A,18,P!nk,47,true love,true,2943,"True love, __ love",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,190160,194130,3970,1,
13386,46,zsmUOdmm02A,18,P!nk,47,true love,true,2944,It must be __ love,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,194130,197560,3430,1,
13387,53,hLQl3WQQoQ0,21,adele,54,someone like you,true,3259,I heard that your dreams came __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,28270,35230,6960,0,
13388,53,hLQl3WQQoQ0,21,adele,54,someone like you,blue,3267,I hate to turn up out of the __ uninvited but I,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,56650,61180,4530,0,
13389,53,hLQl3WQQoQ0,21,adele,54,someone like you,blue,3287,I hate to turn up out of the __ uninvited but I,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,138790,142550,3760,0,
13390,81,yXQViqx6GMY,34,mariah carey,82,all i want for christmas is you,true,4630,Make my wish come __ oh,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,33130,39710,6580,0,
13391,81,yXQViqx6GMY,34,mariah carey,82,all i want for christmas is you,true,4644,Make my wish come __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,89410,92620,3210,0,
13392,81,yXQViqx6GMY,34,mariah carey,82,all i want for christmas is you,true,4680,Make my wish come __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,191710,194530,2820,0,
13393,88,6cfCgLgiFDM,40,Christina Aguilera,89,your body,true,5139,"It's __ what you heard, I am a freak, I'm disturbed",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,84510,88510,4000,0,
13394,89,nmcdLOjGVzw,41,Mika,90,popular song,true,5200,"And all that you have to do, is be __ to you",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,62010,64800,2790,0,
13395,89,nmcdLOjGVzw,41,Mika,90,popular song,true,5228,"And all that you have to do, is be __ to you",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,139310,142320,3010,0,
13396,89,nmcdLOjGVzw,41,Mika,90,popular song,true,5240,"And all that you have to do, is be __ to you",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,187890,190830,2940,0,
13397,112,8EWINVP3B9A,66,cher lloyd,113,i wish,construed,6274,Clearly carried away but what I'm saying you __ that,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,144450,147340,2890,1,
13398,113,LPgvNlrBfb0,66,cher lloyd,114,want u back,true,6324,If what I've been told is __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,82390,84860,2470,0,
13399,120,8WEtxJ4-sh4,72,TLC,122,waterfalls,true,6872,And like His promise is __ only my faith can undo,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,178000,181190,3190,0,
13400,120,8WEtxJ4-sh4,72,TLC,122,waterfalls,blue,6874,Clear and __ and unconditional,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,184130,186000,1870,0,
13401,120,8WEtxJ4-sh4,72,TLC,122,waterfalls,true,6882,Dreams are hopeless aspirations in hopes of coming __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,205900,209240,3340,0,
13402,124,uSD4vsh1zDA,77,black eyed peas,126,i gotta feeling,Tuesday,7155,"Monday, __, Wednesday and Thursday",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,239730,243240,3510,0,
13403,125,WpYeekQkAdc,77,black eyed peas,127,where is the love?,values,7243,"Yo', whatever happened to the __ of humanity",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,203810,206640,2830,0,
13404,139,EgT_us6AsDg,98,Selena Gomez & The Scene,141,love you like a love song,rescued,8046,And it feels like I've been __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,83130,87170,4040,0,
13405,144,7_weSk0BonM,113,leona lewis,146,bleeding love,true,8297,"My heart melts into the ground, found something __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,41410,46040,4630,0,
13406,476,B8FTyEdLjqA,115,Mario,147,let me love you,true,8387,Your __ beauty's description,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,92310,94810,2500,0,
13407,149,ePyRrb2-fzs,126,timbaland,151,apologize,blue,8578,"Now it's turning __, and you say",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,92270,97590,5320,0,
13408,154,i3Jv9fNPjgk,150,Azealia Banks,156,212,blue,8877,C***-a-licking in the water by the __ bayou,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,72750,74040,1290,1,
13409,155,y7ZEVA5dy-Y,160,Duffy,157,mercy,true,8931,But I gotta stay __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,33280,36960,3680,0,
13410,478,NavVfpp-1L4,360,Pink Floyd,185,wish you were here,Blue,10230,__ sky's from pain.,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,105010,109340,4330,1,
13411,200,Ek0SgwWmF9w,370,Muse,205,madness,rescue,11157,Come on and __ me,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,249780,255270,5490,0,
13412,211,hoskDZRLOCs,378,elton john,216,tiny dancer,Blue,11379,"__ jean baby, L.A. lady, seamstress for the band",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,12210,24780,12570,0,
13413,211,hoskDZRLOCs,378,elton john,216,tiny dancer,Blue,11409,"__ jean baby, L.A. lady, seamstress for the band",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,212300,224580,12280,0,
13414,212,mTa8U0Wa0q8,378,elton john,217,your song,blue,11455,If they're green or they're __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,161710,166210,4500,0,
13415,231,co6WMzDOh1o,392,u2,237,beautiful day,true,12232,Even if that doesn't ring __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,88450,91700,3250,0,
13416,231,co6WMzDOh1o,392,u2,237,beautiful day,blue,12245,See the world in green and __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,134720,137990,3270,0,
13417,483,IwWUOmk7wO0,400,lynyrd skynyrd,248,sweet home alabama,blue,12414,Where the skies are so __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,75990,81440,5450,0,
13418,483,IwWUOmk7wO0,400,lynyrd skynyrd,248,sweet home alabama,blue,12425,Where the skies are so __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,125090,128920,3830,0,
13419,483,IwWUOmk7wO0,400,lynyrd skynyrd,248,sweet home alabama,blue,12432,They pick me up when I'm feeling __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,203700,207120,3420,0,
13420,483,IwWUOmk7wO0,400,lynyrd skynyrd,248,sweet home alabama,blue,12436,Where the skies are so __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,213840,218470,4630,0,
13421,245,4aeETEoNfOg,404,The Smashing Pumpkins,251,1979,blues,12540,And I don't even care to shake these zipper __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,68500,77720,9220,0,
13422,245,4aeETEoNfOg,404,The Smashing Pumpkins,251,1979,dues,12547,"Morphine city slippin' __, down to see that",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,122220,129330,7110,0,
13423,245,4aeETEoNfOg,404,The Smashing Pumpkins,251,1979,blues,12561,And I don't even care to shake these zipper __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,212070,221740,9670,0,
13424,263,VcjzHMhBtf0,439,journey,270,don't stop believin',blues,13229,Some were born to sing the __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,141400,145680,4280,0,
13425,281,Qq4j1LtCdww,461,Alice Cooper,289,poison,cruel,13655,Your __ device,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,37850,41690,3840,1,
13426,285,i3MXiTeH_Pg,475,Whitesnake,293,here i go again,rescue,13849,Just another heart in need of __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,104150,109200,5050,0,
13427,290,bkysjcs5vFU,481,Dio,298,holy diver,blue,14045,Like the eyes of a cat in the black and __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,144520,145040,520,0,
13428,291,qObzgUfCl28,491,Kaiser Chiefs,299,ruby,Due,14084,"__ to lack of interest, tomorrow is canceled",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,72490,77220,4730,0,
13429,307,5QD5n98R_nk,641,Mr. Big,316,to be with you,blues,14697,Waited on a line of greens and __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,41420,47040,5620,0,
13430,307,5QD5n98R_nk,641,Mr. Big,316,to be with you,blues,14710,Waited on a line of greens and __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,87280,92840,5560,0,
13431,307,5QD5n98R_nk,641,Mr. Big,316,to be with you,blues,14722,Waited on a line of greens and __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,157600,162890,5290,0,
13432,307,5QD5n98R_nk,641,Mr. Big,316,to be with you,blues,14729,Waited on a line of greens and __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,185020,185930,910,0,
13433,309,NlmezywdxPI,802,Eminem,319,survival,overdue,14923,"But my respect is __, I'm showing you the flow no one do",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,197840,201270,3430,1,
13434,487,Z4bVgEVnvyI,803,Drake,322,all me,true,15139,"Came up, that's all me, stay __, that's all me",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,15520,19940,4420,1,
13435,487,Z4bVgEVnvyI,803,Drake,322,all me,true,15141,"Came up, that's all me, stay __, that's all me",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,23460,27940,4480,1,
13436,487,Z4bVgEVnvyI,803,Drake,322,all me,true,15161,"Came up, that's all me, stay __, that's all me",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,94240,98870,4630,1,
13437,487,Z4bVgEVnvyI,803,Drake,322,all me,true,15163,"Came up, that's all me, stay __, that's all me",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,102490,106820,4330,1,
13438,487,Z4bVgEVnvyI,803,Drake,322,all me,true,15191,"Came up, that's all me, stay __, that's all me",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,188760,193000,4240,1,
13439,487,Z4bVgEVnvyI,803,Drake,322,all me,true,15193,"Came up, that's all me, stay __, that's all me",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,196810,200750,3940,1,
13440,487,Z4bVgEVnvyI,803,Drake,322,all me,due,15197,I'm finna do what I didn't do and still waking up like the rent's __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,208080,211780,3700,1,
13441,487,Z4bVgEVnvyI,803,Drake,322,all me,issues,15210,"Like I got trust __, I'm sorry for the people I've pushed out",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,250530,253870,3340,1,
13442,313,RubBzkZzpUA,803,Drake,323,started from the bottom,argue,15225,Living at my mama's house we'd __ every month,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,35260,38290,3030,1,
13443,313,RubBzkZzpUA,803,Drake,323,started from the bottom,due,15246,We just want the credit where it's __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,88690,90800,2110,1,
13444,316,2YcIgow6TDk,805,Jay-Z,326,holy grail,Blue,15294,"Uh, __ told me to remind you *****s",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,79610,82920,3310,1,
13445,318,QjlFqgRbICY,806,Kendrick Lamar,328,a.d.h.d,blue,15488,"is light __, she take it straight to the head",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,64400,66770,2370,1,
13446,320,yyr2gEouEMM,806,Kendrick Lamar,330,poetic justice,true,15602,"Making sure my punctuation curve, every letter is __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,194190,197560,3370,1,
13447,488,NtxmnBQmfZs,806,Kendrick Lamar,331,money trees,revenue,15642,Go at a reverend for the __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,76600,79000,2400,1,
13448,488,NtxmnBQmfZs,806,Kendrick Lamar,331,money trees,residue,15699,"Pots with cocaine __, everyday I'm hustlin'",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,279120,282380,3260,1,
13449,331,k2rqUlYN1m8,817,B.o.B,341,headband,True,16537,"Her *** would knock your *** out, you better stick and move (__)",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,105180,107940,2760,1,
13450,334,phaJXp_zMYM,818,The Notorious B.I.G.,344,big poppa,true,16740,"C-notes by the layers, __ ****in'' players",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,59400,62150,2750,1,
13451,334,phaJXp_zMYM,818,The Notorious B.I.G.,344,big poppa,true,16745,"Throw your hands in the air, if you'se a __ player",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,70350,73590,3240,1,
13452,334,phaJXp_zMYM,818,The Notorious B.I.G.,344,big poppa,true,16766,"What we came to do, ain't that right boo (__)",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,127510,130460,2950,1,
13453,334,phaJXp_zMYM,818,The Notorious B.I.G.,344,big poppa,true,16771,"Throw your hands in the air, if youse a __ player",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,138590,141620,3030,1,
13454,334,phaJXp_zMYM,818,The Notorious B.I.G.,344,big poppa,true,16794,"Throw your hands in the air, if youse a __ player",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,206800,209770,2970,1,
13455,342,eU4ZvfkmOck,836,The Game,352,ali bomaye,true,17327,"Got two chains, they two-tone, two hundred racks, no lie (__)",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,90460,93710,3250,1,
13456,489,w5tWYmIOWGk,1776,image dragons,376,on top of the world,dues,18405,Paying my __ to the dirt,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,55840,57830,1990,0,
13457,489,w5tWYmIOWGk,1776,image dragons,376,on top of the world,dues,18425,Paying my __ to the dirt,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,101470,103720,2250,0,
13458,489,w5tWYmIOWGk,1776,image dragons,376,on top of the world,dues,18435,Paying my __ to the dirt,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,139320,141580,2260,0,
13459,489,w5tWYmIOWGk,1776,image dragons,376,on top of the world,dues,18452,Paying my __ to the dirt,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,177910,180170,2260,0,
13460,489,w5tWYmIOWGk,1776,image dragons,376,on top of the world,dues,43347,Paying my __ to the dirt,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,216180,218690,2510,0,
13461,366,CJinWua98NA,1778,Capital Cities,381,kangaroo court,blues,18756,I got my ballup shoes and every excuse to dance these __ away,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,36980,41330,4350,0,
13462,491,mOHWZmREuvA,1787,Two Door Cinema Club,399,changing of the seasons,true,19299,I can tell you that's not __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,39020,42570,3550,0,
13463,491,mOHWZmREuvA,1787,Two Door Cinema Club,399,changing of the seasons,true,19319,Well I can tell you that's not __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,99630,103240,3610,0,
13464,491,mOHWZmREuvA,1787,Two Door Cinema Club,399,changing of the seasons,true,19344,I can tell you that's not __,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,173600,177130,3530,0,
13465,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,issues,19453,I like to keep my __ strong,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,29490,33920,4430,1,
13466,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,issues,19463,So I like to keep my __ strong,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,65070,69630,4560,1,
13467,387,WbN0nX61rIs,1789,Florence + The Machine,402,shake it out,issues,19475,Cause I like to keep my __ strong,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,100670,105410,4740,1,
13468,392,OePvsCfKHJg,1794,Phoenix,407,trying to be cool,Gruesome,19677,"__, I don't care where you're from",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,167920,172510,4590,0,
13469,405,rjFaenf1T-Y,1803,Edward Sharpe & the Magnetic Zeros,420,home,true,20042,"That's __, laugh until we think we'll die",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,131090,133370,2280,1,
13470,413,UAsTlnjvetI,1820,Young The Giant,429,cough syrup,blue,20359,I'm coming up now coming up now out of the __ oh,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,85970,94650,8680,0,
13471,434,#NAME?,2144,Counting Crows,451,mr. jones,blue,20848,Paint myself in __ and red and black and gray,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,111660,115020,3360,0,
13472,437,fV4DiAyExN0,2151,Hoobastank,454,the reason,continue,21010,But I __ learning,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,25800,31610,5810,0,
13473,69,450p7goxZqg,29,John Legend,740,all of me,blues,38899,"My worst distraction, my rhythm and __",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,127230,131080,3850,0,
13474,461,Y8ygKnBtKAk,13,Justin Timberlake,745,not a bad thing,true,39184,Cause you might **** around and find your dreams come __ with me,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,72930,78430,5500,1,
13475,461,Y8ygKnBtKAk,13,Justin Timberlake,745,not a bad thing,true,39203,Cause you might **** around and find your dreams come __ with me,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,162190,167610,5420,1,
13476,461,Y8ygKnBtKAk,13,Justin Timberlake,745,not a bad thing,true,39216,Cause you might **** around and find your dreams come __ with me,Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,240200,245770,5570,1,
13477,470,o3SqUUoJjW8,6,Lana Del Rey,754,west coast,Blue,39809,"You for the moment, Boy __, yeah you",Feature_Has_Phoneme_Uw_Spelled_Ue,sound_uw,sounds_aw_ow_uw,41740,46470,4730,0,
